Contagem,Ano,Título,Gênero,País,Nacionalidade,Distribuidora,Origem_distribuidora,Público_exibição,Renda
645,2019,Uma Segunda Chance Para Amar,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Universal,Distribuição Internacional,514041.0,7717646.0
646,2019,Uma Viagem Inesperada,Ficção,"Argentina, Brasil",Brasileira,Boulevard Filmes,Distribuição Nacional,1075.0,14837.0
647,2019,Unicórnio,Ficção,Brasil,Brasileira,Vitrine Filmes,Distribuição Nacional,67.0,302.0
648,2019,Uruguai - Na Vanguarda,Documentário,Brasil,Brasileira,Urbano Filmes,Distribuição Nacional,464.0,6364.0
649,2019,Utøya 22 De Julho,Ficção,Noruega,Estrangeira,Califórnia,Distribuição Nacional,53.0,503.0
650,2019,Vai Que Cola 2 - O Começo,Ficção,Brasil,Brasileira,H2O Films,Distribuição Nacional,803483.0,11894966.0
651,2019,Varda Por Agnès,Ficção,França,Estrangeira,Imovision,Distribuição Nacional,9247.0,146093.0
652,2019,Velozes & Furiosos: Hobbs & Shaw,Ficção,"Estados Unidos, Reino Unido",Estrangeira,Universal,Distribuição Internacional,2743585.0,44242089.0
653,2019,Venom,Ficção,Estados Unidos,Estrangeira,Sony,Distribuição Internacional,50.0,364.0
654,2019,Vergel,Ficção,"Argentina, Brasil",Brasileira,Arthouse,Distribuição Nacional,479.0,5974.0
655,2019,Vermelho Sol,Ficção,"Brasil, Argentina, França",Brasileira,Vitrine Filmes,Distribuição Nacional,6164.0,51271.0
656,2019,Verão De 84,Ficção,"Canadá, Estados Unidos",Estrangeira,Cinecolor Do Brasil,Distribuição Nacional,9819.0,142601.0
657,2019,Vice,Ficção,Estados Unidos,Estrangeira,Imagem,Distribuição Nacional,219486.0,4751695.0
658,2019,Vidas Duplas,Ficção,França,Estrangeira,Califórnia,Distribuição Nacional,15666.0,285744.0
659,2019,Vidas À Deriva,Ficção,Estados Unidos,Estrangeira,Diamond Films,Distribuição Nacional,26.0,130.0
660,2019,Vidro,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,1365681.0,22391507.0
661,2019,Vingadores: Guerra Infinita,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,871.0,9681.0
662,2019,Vingadores: Ultimato,Ficção,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,19656467.0,338624881.0
663,2019,Vingança A Sangue-Frio,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,195265.0,3103329.0
664,2019,Vision,Ficção,"França, Japão",Estrangeira,Imovision,Distribuição Nacional,9604.0,164790.0
665,2019,Viva - A Vida É Uma Festa,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,1447.0,10454.0
666,2019,Vizinhos,Ficção,Estados Unidos,Estrangeira,Universal,Distribuição Internacional,77.0,944.0
667,2019,Voando Alto,Animação,Alemanha,Estrangeira,Paris,Distribuição Nacional,13296.0,188747.0
668,2019,Você Nunca Esteve Realmente Aqui,Ficção,"Estados Unidos, França, Reino Unido",Estrangeira,Supo Mungam Films,Distribuição Nacional,8.0,80.0
669,2019,Vox Lux,Ficção,Estados Unidos,Estrangeira,Paris,Distribuição Nacional,6196.0,131782.0
670,2019,Wajib - Um Convite De Casamento,Ficção,Territórios Palestinos Ocupados,Estrangeira,Cup Filmes,Distribuição Nacional,3528.0,33707.0
671,2019,Western,Ficção,"Alemanha, Áustria, Bulgária",Estrangeira,Zeta Filmes,Distribuição Nacional,24.0,189.0
672,2019,Wifi Ralph,Animação,Estados Unidos,Estrangeira,Disney,Distribuição Internacional,4399733.0,64838207.0
673,2019,X-Men - Apocalipse,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,90.0,1744.0
674,2019,X-Men: Fênix Negra,Ficção,Estados Unidos,Estrangeira,Fox,Distribuição Internacional,3330607.0,54347798.0
